Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,74900.000000,75400.000000,73900.000000,74600.000000,74535.179688,3232320
2020-12-29,76200.000000,77100.000000,75600.000000,76900.000000,76864.093750,4287020
2020-12-30,76900.000000,78800.000000,76700.000000,77900.000000,77863.625000,4065710
2021-01-04,78400.000000,79300.000000,77100.000000,79200.000000,79163.015625,4268700
2021-01-05,78600.000000,79100.000000,77400.000000,78600.000000,78563.296875,3742795
2021-01-06,79000.000000,82000.000000,78900.000000,79100.000000,79063.062500,7178575
2021-01-07,80400.000000,80700.000000,78600.000000,80500.000000,80462.414063,3875955
2021-01-08,82600.000000,87200.000000,80900.000000,86800.000000,86759.468750,12333575
2021-01-11,88200.000000,92600.000000,85800.000000,90600.000000,90557.695313,15788735
2021-01-12,89200.000000,92000.000000,86600.000000,91500.000000,91457.273438,7889360
2021-01-13,91700.000000,92400.000000,89900.000000,90900.000000,90857.554688,4032010
2021-01-14,90800.000000,92600.000000,90000.000000,90300.000000,90257.835938,4010380
2021-01-15,90400.000000,91800.000000,87300.000000,87500.000000,87459.140625,4978630
2021-01-18,86700.000000,88300.000000,85400.000000,85500.000000,85460.078125,4199920
2021-01-19,85600.000000,88900.000000,85600.000000,88000.000000,87958.906250,2919985
2021-01-20,89600.000000,90000.000000,87400.000000,88800.000000,88758.539063,2981700
2021-01-21,90500.000000,92200.000000,90400.000000,90800.000000,90757.601563,3395465
2021-01-22,91200.000000,95200.000000,90500.000000,92600.000000,92556.757813,5811975
2021-01-25,94400.000000,95100.000000,92000.000000,94700.000000,94655.781250,3600850
2021-01-26,95800.000000,95800.000000,92100.000000,92200.000000,92156.945313,4061330
2021-01-27,92600.000000,95400.000000,92200.000000,93000.000000,92956.578125,3599070
2021-01-28,90800.000000,93700.000000,90400.000000,91600.000000,91557.226563,4609060
2021-01-29,92000.000000,92100.000000,87200.000000,88200.000000,88158.812500,5350465
2021-02-01,87200.000000,88600.000000,85000.000000,88300.000000,88258.765625,4550505
2021-02-02,90000.000000,91400.000000,88700.000000,89100.000000,89058.398438,3314525
2021-02-03,90100.000000,92400.000000,89400.000000,92400.000000,92356.851563,3790485
2021-02-04,92600.000000,92600.000000,89800.000000,90900.000000,90857.554688,2584185
2021-02-05,91400.000000,92200.000000,89500.000000,91000.000000,90957.507813,2042080
2021-02-08,91000.000000,92400.000000,90000.000000,91400.000000,91357.320313,2580575
2021-02-09,92000.000000,93500.000000,90500.000000,92200.000000,92156.945313,3677825
2021-02-10,93200.000000,98100.000000,93200.000000,97900.000000,97854.289063,9072415
2021-02-15,99800.000000,101000.000000,98400.000000,100400.000000,100353.117188,5262740
2021-02-16,100800.000000,103800.000000,99900.000000,102800.000000,102752.000000,5380240
2021-02-17,103000.000000,103000.000000,100600.000000,101800.000000,101752.468750,2812860
2021-02-18,101200.000000,103400.000000,100200.000000,100200.000000,100153.210938,2334610
2021-02-19,99400.000000,101200.000000,98000.000000,100800.000000,100752.929688,3478320
2021-02-22,101000.000000,102000.000000,98000.000000,98100.000000,98054.195313,3204965
2021-02-23,96300.000000,98500.000000,95400.000000,97400.000000,97354.523438,3327085
2021-02-24,97400.000000,98500.000000,94500.000000,94700.000000,94655.781250,3336045
2021-02-25,95600.000000,96900.000000,94700.000000,96900.000000,96854.750000,2812745
2021-02-26,99500.000000,100400.000000,96100.000000,97600.000000,97554.429688,8086380
2021-03-02,99800.000000,100800.000000,98000.000000,98300.000000,98254.101563,4610170
2021-03-03,98100.000000,99000.000000,97600.000000,98700.000000,98653.914063,2641605
2021-03-04,97500.000000,98000.000000,96200.000000,96400.000000,96354.984375,3474450
2021-03-05,93800.000000,94800.000000,92600.000000,94200.000000,94156.015625,3563165
2021-03-08,94400.000000,94900.000000,90800.000000,90800.000000,90757.601563,3407620
2021-03-09,89700.000000,90300.000000,86900.000000,88200.000000,88158.812500,5343350
2021-03-10,90500.000000,92900.000000,89800.000000,92000.000000,91957.039063,4498345
2021-03-11,92100.000000,96900.000000,91400.000000,95800.000000,95755.265625,4640455
2021-03-12,97800.000000,98000.000000,95400.000000,96200.000000,96155.078125,2175315
2021-03-15,96000.000000,96400.000000,94400.000000,95800.000000,95755.265625,1729905
2021-03-16,96200.000000,97000.000000,95600.000000,95800.000000,95755.265625,1354265
2021-03-17,95800.000000,98200.000000,95600.000000,97000.000000,96954.703125,2019765
2021-03-18,97700.000000,100800.000000,97200.000000,99600.000000,99553.492188,3858485
2021-03-19,97700.000000,99400.000000,96800.000000,98500.000000,98454.007813,2584905
2021-03-22,98600.000000,99300.000000,97600.000000,98800.000000,98753.867188,1575175
2021-03-23,99200.000000,100600.000000,97100.000000,98100.000000,98054.195313,1899820
2021-03-24,97300.000000,98400.000000,96400.000000,98400.000000,98354.054688,1442815
2021-03-25,98000.000000,98200.000000,96400.000000,97000.000000,96954.703125,1942655
2021-03-26,97600.000000,99000.000000,97200.000000,99000.000000,98953.773438,1922735
2021-03-29,99200.000000,99300.000000,97000.000000,97500.000000,97454.476563,1745565
2021-03-30,98000.000000,99400.000000,97900.000000,98700.000000,98653.914063,1555365
2021-03-31,98800.000000,101000.000000,98200.000000,99600.000000,99553.492188,2515180
2021-04-01,100000.000000,100800.000000,98400.000000,99800.000000,99753.398438,2062115
2021-04-02,101600.000000,101600.000000,99800.000000,100200.000000,100153.210938,1493205
2021-04-05,100600.000000,101000.000000,100000.000000,100400.000000,100353.117188,1552000
2021-04-06,101200.000000,109000.000000,101000.000000,108800.000000,108749.195313,8624790
2021-04-07,108800.000000,108800.000000,105200.000000,108400.000000,108349.382813,4104480
2021-04-08,107800.000000,112200.000000,106800.000000,109600.000000,109548.820313,4562570
2021-04-09,110800.000000,112200.000000,110200.000000,111600.000000,111547.890625,3944195
